date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:40:49	319/319	U-----	200	untouched ('OK')	text/plain	etag:W/%22271-ZkNsGgz+VEICVRwphenVZhD107U%22	https://www.corbes.eu/robots.txt		(from )
08:40:50	798104/798104	U--MCZ	200	updated ('OK')	text/html	etag:W/%22633bdab1d3e5ea3b17755c79ff8a2494%22	https://www.corbes.eu/	C:/home/tmp/corbes/www.corbes.eu/index.html	(from )
08:40:51	1418/1418	U-----	200	untouched ('')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:27:11%20GMT	https://static.wixstatic.com/media/5f9a03_f09d382daa804ee6bea952f767534dea~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/5f9a03_f09d382daa804ee6bea952f767534dea~mv2.jpg	C:/home/tmp/corbes/static.wixstatic.com/media/5f9a03_f09d382daa804ee6bea952f767534dea_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/5f9a03_f09d382daa804ee6bea952f767534dea_mv2.jpg	(from https://www.corbes.eu/)
08:40:51	9518/9518	U-----	200	untouched ('')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:27:11%20GMT	https://static.wixstatic.com/media/5f9a03_f09d382daa804ee6bea952f767534dea~mv2.jpg/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/5f9a03_f09d382daa804ee6bea952f767534dea~mv2.jpg	C:/home/tmp/corbes/static.wixstatic.com/media/5f9a03_f09d382daa804ee6bea952f767534dea_mv2.jpg/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/5f9a03_f09d382daa804ee6bea952f767534dea_mv2.jpg	(from https://www.corbes.eu/)
08:40:51	10094/10094	U-----	200	untouched ('')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:27:11%20GMT	https://static.wixstatic.com/media/5f9a03_f09d382daa804ee6bea952f767534dea~mv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/5f9a03_f09d382daa804ee6bea952f767534dea~mv2.jpg	C:/home/tmp/corbes/static.wixstatic.com/media/5f9a03_f09d382daa804ee6bea952f767534dea_mv2.jpg/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/5f9a03_f09d382daa804ee6bea952f767534dea_mv2.jpg	(from https://www.corbes.eu/)
08:40:51	2958/2958	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202024%2006:40:47%20GMT	https://www.corbes.eu/c	C:/home/tmp/corbes/www.corbes.eu/c.6.delayed	(from https://www.corbes.eu/)
08:40:51	137771/137771	U-----	200	untouched ('')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/home/tmp/corbes/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.corbes.eu/)
08:40:51	65591/65591	U--MCZ	200	updated ('OK')	text/javascript	date:Thu,%2026%20Sep%202024%2006:40:47%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/home/tmp/corbes/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.corbes.eu/)
08:40:51	1171/1171	U-----	200	untouched ('')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/home/tmp/corbes/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.corbes.eu/)
08:40:51	2960/2960	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202024%2006:40:47%20GMT	https://www.corbes.eu/t	C:/home/tmp/corbes/www.corbes.eu/t.7.delayed	(from https://www.corbes.eu/)
08:40:51	40949/40949	U-----	200	untouched ('')	image/png	etag:%22d6793e194624ea8a9de511b9e7c63bf0%22	https://static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d2412ec4.png	C:/home/tmp/corbes/static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d2412ec4.png	(from https://www.corbes.eu/)
08:40:52	2959/2959	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202024%2006:40:48%20GMT	https://www.corbes.eu/media/emptystate.85a4add5.svg	C:/home/tmp/corbes/www.corbes.eu/media/emptystate.85a4add5.17.delayed	(from https://www.corbes.eu/)
08:40:52	11969/11969	U-----	200	untouched ('')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:27:15%20GMT	https://static.wixstatic.com/media/5f9a03_a2944699dd70416ba5e4d582ffb3186a~mv2.jpg/v1/fill/w_216,h_288,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/5f9a03_a2944699dd70416ba5e4d582ffb3186a~mv2.jpg	C:/home/tmp/corbes/static.wixstatic.com/media/5f9a03_a2944699dd70416ba5e4d582ffb3186a_mv2.jpg/v1/fill/w_216,h_288,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/5f9a03_a2944699dd70416ba5e4d582ffb3186a_mv2.jpg	(from https://www.corbes.eu/)
08:40:52	2729/2729	U-----	200	untouched ('')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:27:15%20GMT	https://static.wixstatic.com/media/5f9a03_7af6fff0bc314f11bc1583f9d5c3a8c8~mv2.jpg/v1/fill/w_79,h_79,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/icon.jpg	C:/home/tmp/corbes/static.wixstatic.com/media/5f9a03_7af6fff0bc314f11bc1583f9d5c3a8c8_mv2.jpg/v1/fill/w_79,h_79,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/icon.jpg	(from https://www.corbes.eu/)
08:40:52	7734/7734	U--MCZ	200	updated ('OK')	text/xml	date:Thu,%2026%20Sep%202024%2006:40:49%20GMT	https://www.corbes.eu/blog-feed.xml	C:/home/tmp/corbes/www.corbes.eu/blog-feed.xml	(from https://www.corbes.eu/)
08:40:52	749882/749882	U-----	200	untouched ('OK')	text/html	etag:W/%222156613138d4c7bf8eea7dafad2a80c1%22	https://www.corbes.eu/vakantiehuis	C:/home/tmp/corbes/www.corbes.eu/vakantiehuis.html	(from https://www.corbes.eu/)
08:40:53	796219/796219	U--MCZ	200	updated ('OK')	text/html	etag:W/%22dbc8d43db16853c29da039a0bc53eb36%22	https://www.corbes.eu/?lang=fr	C:/home/tmp/corbes/www.corbes.eu/indexe68f.html	(from https://www.corbes.eu/)
08:40:53	2960/2960	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202024%2006:40:49%20GMT	https://www.corbes.eu/feed.xml	C:/home/tmp/corbes/www.corbes.eu/feed.28.delayed	(from https://www.corbes.eu/)
08:40:53	2959/2959	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202024%2006:40:49%20GMT	https://www.corbes.eu/${i.uri}	C:/home/tmp/corbes/www.corbes.eu/${i.29.delayed	(from https://www.corbes.eu/)
08:40:53	2219/2219	U-----	200	untouched ('')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:27:19%20GMT	https://static.wixstatic.com/media/5f9a03_3b498034d9724e08bc540c524b6696be~mv2.jpg/v1/fill/w_100,h_75,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/5f9a03_3b498034d9724e08bc540c524b6696be~mv2.jpg	C:/home/tmp/corbes/static.wixstatic.com/media/5f9a03_3b498034d9724e08bc540c524b6696be_mv2.jpg/v1/fill/w_100,h_75,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/5f9a03_3b498034d9724e08bc540c524b6696be_mv2.jpg	(from https://www.corbes.eu/)
08:40:54	19800/19800	U-----	200	untouched ('')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:27:19%20GMT	https://static.wixstatic.com/media/5f9a03_f6187d41c2004ebb804bd0828fe87d80~mv2.jpg/v1/crop/x_0,y_141,w_1038,h_1087/fill/w_250,h_260,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/Henk_JPG.jpg	C:/home/tmp/corbes/static.wixstatic.com/media/5f9a03_f6187d41c2004ebb804bd0828fe87d80_mv2.jpg/v1/crop/x_0,y_141,w_1038,h_1087/fill/w_250,h_260,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/Henk_JPG.jpg	(from https://www.corbes.eu/)
