date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:41	319/319	---MCZ	200	added ('OK')	text/plain	etag:W/%22271-ZkNsGgz+VEICVRwphenVZhD107U%22	https://www.corbes.eu/robots.txt		(from )
13:24:42	798399/798399	---MCZ	200	added ('OK')	text/html	etag:W/%225c81e851e3750b5f0c499e967d29f567%22	https://www.corbes.eu/	C:/home/tmp/corbes/www.corbes.eu/index.html	(from )
13:24:42	10094/10094	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:27:11%20GMT	https://static.wixstatic.com/media/5f9a03_f09d382daa804ee6bea952f767534dea~mv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/5f9a03_f09d382daa804ee6bea952f767534dea~mv2.jpg	C:/home/tmp/corbes/static.wixstatic.com/media/5f9a03_f09d382daa804ee6bea952f767534dea_mv2.jpg/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/5f9a03_f09d382daa804ee6bea952f767534dea_mv2.jpg	(from https://www.corbes.eu/)
13:24:43	1418/1418	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:27:11%20GMT	https://static.wixstatic.com/media/5f9a03_f09d382daa804ee6bea952f767534dea~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/5f9a03_f09d382daa804ee6bea952f767534dea~mv2.jpg	C:/home/tmp/corbes/static.wixstatic.com/media/5f9a03_f09d382daa804ee6bea952f767534dea_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/5f9a03_f09d382daa804ee6bea952f767534dea_mv2.jpg	(from https://www.corbes.eu/)
13:24:43	9518/9518	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:27:11%20GMT	https://static.wixstatic.com/media/5f9a03_f09d382daa804ee6bea952f767534dea~mv2.jpg/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/5f9a03_f09d382daa804ee6bea952f767534dea~mv2.jpg	C:/home/tmp/corbes/static.wixstatic.com/media/5f9a03_f09d382daa804ee6bea952f767534dea_mv2.jpg/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/5f9a03_f09d382daa804ee6bea952f767534dea_mv2.jpg	(from https://www.corbes.eu/)
13:24:43	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/home/tmp/corbes/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.corbes.eu/)
13:24:43	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/home/tmp/corbes/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.corbes.eu/)
13:24:44	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2025%20Sep%202024%2011:24:44%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/home/tmp/corbes/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.corbes.eu/)
13:24:44	2960/2960	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Sep%202024%2011:24:44%20GMT	https://www.corbes.eu/c	C:/home/tmp/corbes/www.corbes.eu/c.6.delayed	(from https://www.corbes.eu/)
13:24:45	2960/2960	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Sep%202024%2011:24:45%20GMT	https://www.corbes.eu/t	C:/home/tmp/corbes/www.corbes.eu/t.7.delayed	(from https://www.corbes.eu/)
